725	degli	1	3
726	assalti	1	3
727	inimici	1	3
728	obbliando	1	3
729	acerbe	1	3
730	gare	1	3
731	imprender	1	3
732	amici	1	3
733	sparger	1	3
734	fuga	1	3
735	fulminar	1	3
736	brando	1	3
737	propri	1	3
738	guerrieri	1	3
739	fatti	1	3
740	pensieri	1	3
741	quando	2	3
742	fien	1	3
743	come	5	3
744	palesi	1	3
745	volgo	2	3
746	quell	1	3
747	orror	2	3
748	primo	1	3
749	contra	1	3
750	empia	1	3
751	strinse	1	3
752	social	1	3
753	catena	1	3
754	ricondotto	1	3
755	da	2	3
756	verace	1	3
757	saper	1	3
758	onesto	1	3
759	retto	1	3
760	conversar	2	3
761	cittadino	1	3
762	giustizia	1	3
763	pietade	1	3
764	altra	5	3
765	radice	1	3
766	avranno	1	3
767	allor	1	3
768	superbe	1	3
769	fole	1	3
770	ove	3	3
771	fondata	1	3
772	probità	1	3
773	star	3	3
774	suole	1	3
775	piede	1	3
776	quale	1	3
777	error	1	3
778	sede	2	3
779	sovente	2	3
780	desolate	1	3
781	bruno	1	3
782	veste	1	3
783	flutto	2	3
784	indurato	1	3
785	ondeggi	1	3
786	seggo	1	3
787	notte	4	3
788	sulla	1	3
789	mesta	1	3
790	landa	1	3
791	purissimo	1	3
792	azzurro	1	3
793	veggo	1	3
794	fiammeggiar	1	3
795	stelle	4	3
796	lontan	2	3
797	specchio	1	3
798	mare	2	3
799	scintille	1	3
800	giro	1	3
801	lo	3	3
802	vòto	1	3
803	seren	1	3
804	brillar	1	3
805	poi	3	3
806	quelle	2	3
807	luci	1	3
808	appunto	1	3
809	sembrano	1	3
810	punto	4	3
811	sono	2	3
812	immense	1	3
813	guisa	1	3
814	veracemente	1	3
815	globo	1	3
816	sconosciuto	1	3
817	miro	1	3
818	quegli	1	3
819	senz	2	3
820	alcun	1	3
821	remoti	1	3
822	nodi	1	3
823	noi	1	3
824	paion	2	3
825	nebbia	1	3
826	tutte	2	3
827	uno	1	3
828	numero	1	3
829	infinite	1	3
830	mole	1	3
831	aureo	1	3
832	insiem	1	3
833	nostre	1	3
834	ignote	1	3
835	essi	1	3
836	alla	6	3
837	luce	1	3
838	nebulosa	1	3
839	sembri	1	3
840	prole	2	3
841	rimembrando	1	3
842	quaggiù	1	3
843	segno	1	3
844	premo	1	3
845	signora	1	3
846	fine	1	3
847	credi	1	3
848	data	1	3
849	quante	1	3
850	volte	2	3
851	favoleggiar	1	3
852	piacque	1	3
853	oscuro	1	3
854	granel	1	3
855	sabbia	1	3
856	nome	1	3
857	tua	1	3
858	cagion	1	3
859	universe	1	3
860	scender	1	3
861	autori	1	3
862	co	1	3
863	piacevolmente	1	3
864	derisi	1	3
865	sogni	1	3
866	rinnovellando	1	3
